date,price
2023-07-12,7624
2023-07-12,7624
2023-07-12,7624
2023-07-12,7624
2023-07-12,7624
2023-07-13,7664
2023-07-13,7664
2023-07-13,7664
2023-07-13,7664
2023-07-13,7664
2023-07-14,7724
2023-07-14,7724
2023-07-14,7724
2023-07-14,7724
2023-07-14,7724
2023-07-17,7513
2023-07-17,7513
2023-07-17,7513
2023-07-17,7513
2023-07-17,7513
2023-07-18,7552
2023-07-18,7552
2023-07-18,7552
2023-07-18,7552
2023-07-18,7552
2023-07-19,7554
2023-07-19,7554
2023-07-19,7554
2023-07-19,7554
2023-07-19,7554
2023-07-20,7691
2023-07-20,7691
2023-07-20,7691
2023-07-20,7691
2023-07-20,7691
2023-07-21,7790
2023-07-21,7790
2023-07-21,7790
2023-07-21,7790
2023-07-21,7790
2023-07-24,7912
2023-07-24,7912
2023-07-24,7912
2023-07-24,7912
2023-07-24,7912
2023-07-25,7849
2023-07-25,7849
2023-07-25,7849
2023-07-25,7849
2023-07-25,7849
2023-07-26,7927
2023-07-26,7927
2023-07-26,7927
2023-07-26,7927
2023-07-26,7927
2023-07-27,7814
2023-07-27,7814
2023-07-27,7814
2023-07-27,7814
2023-07-27,7814
2023-07-28,7686
2023-07-28,7686
2023-07-28,7686
2023-07-28,7686
2023-07-28,7686
2023-07-31,8025
2023-07-31,8025
2023-07-31,8025
2023-07-31,8025
2023-07-31,8025
2023-08-01,7986
2023-08-01,7986
2023-08-01,7986
2023-08-01,7986
2023-08-01,7986
2023-08-02,8064
2023-08-02,8064
2023-08-02,8064
2023-08-02,8064
2023-08-02,8064
2023-08-03,7929
2023-08-03,7929
2023-08-03,7929
2023-08-03,7929
2023-08-03,7929
2023-08-04,7845
2023-08-04,7845
2023-08-04,7845
2023-08-04,7845
2023-08-04,7845
